‘ª’èŒ‹‰Ê‚Í‰º•”‚É‚ ‚è‚Ü‚·
g11,72_g11
r11,53_r11
r12,53_r12
r21,53_r12
r22,53_r11
























